Oligo	brain vs whole fly - T-Test_Change Direction	BrainMean	BrainSEM	BrainPresent	Brain:fly	head vs whole fly  - T-Test_Change Direction	HeadMean	HeadSEM	HeadPresent	Head:fly	Crop vs Whole flies t-test - T-Test_Change Direction	cropMean	cropSEM	cropPresent	ratio	midgut vs whole fly - T-Test_Change Direction	MidgutMean	MidgutSEM	MidgutPresent	Midgut:fly	Hind vs Whole  - T-Test_Change Direction	HindgutMean	HindgutSEM	Hindgutpresent	Hindgut:fly	Tubule t test vs whole fly	tubuleMean	tubuleSEM	tubulePresent	tubule:fly	ovary vs whole flies - T-Test_Change Direction	OvaryMean	OvarySEM	OvaryPresent	Ovary:fly	testis vs whole flies - T-Test_Change Direction	TestisMean	TestisSEM	TestisCall	Testis:fly	acc vs W - T-Test_Change Direction	AccMean	AccSEM	AccPresent	Acc:fly	LT vs whole fly - T-Test_Change Direction	l_tubMean	l_tubSEM	l_tubPresent	l_tub:fly	FB vs whole fly - T-Test_Change Direction	l_fatMean	l_fatSEM	l_fatPresent	l_fat:fly	tag vs whole flies - T-Test_Change Direction	tagMean	tagSEM	tagPresent	tag:fly	car vs Whole fly - T-Test_Change Direction	carMean	carSEM	carPresent	car:fly	SG vs whole fly - T-Test_Change Direction	Sgmean	Sgsem	Present	ratio	L_sg t	l_sg mean	l-sg sem	l_sg present	l_sg ratio	l_mid t	l_mid mean	l_mid sem	l_mid present	l_mid ratio	larvae hindgut vs whole fly  - T-Test_Change Direction	l_hind mean	l_hind sem	l_hind present	l_hind ratio	SptV vs W - T-Test_Change Direction	SptV mean	SptV sem	SptV present	SptV ratio	SptM vs W t-test - T-Test_Change Direction	SptM mean	SptM sem	SptM present	SptM ratio	Feeded larvae central nerve system vs whole flies  - T-Test_Change Direction	LcnsMean	LcnsSEM	call	ratio	Adult fat body vs whole flies  - T-Test_Change Direction	AFBmean	AFBSEM	AFBcall	ratio	Feeded larvae carcuss vs whole flies  - T-Test_Change Direction	LcarMean	LcarSEM	Lcar call	ratio	eye vs whole flies - T-Test_Change Direction	eye mean	eye sem	eye present	eye ratio	heart vs wholefly t-test - T-Test_Change Direction	heart mean	heart sem	heart present	heart ratio	lftrachea vs wholefly - T-Test_Change Direction	trachea mean	trachea sem	trachea present	trachea ratio	Drosophila S2 cells vs whole flies - T-Test_Change Direction	S2 Mean	S2 sem	S2 present	S2 ratio	FlyMean	FlySEM	FlyPresent		
1622911_at	None	2	1	0	3.1	None	2.2	1	0	3.3	None	1.7	0.7	0	2.6	None	1.1	0.5	0	1.6	None	0.8	0.3	0	1.2	Up	2.2	0.3	0	3.4	None	2.4	0.8	0	3.6	Up	3.4	0.3	0	5.3	None	1	0.2	0	1.6	None	1.3	0.3	0	1.9	Up	5.6	1.4	0	8.6	None	3	1.3	0	4.6	None	5.3	1.8	0	8.2	None	8.5	2.8	0	13.12	None	4.5	1.4	1	6.88	None	2.2	1.3	0	3.31	None	1.4	0.6	0	2.15	None	4.2	1.3	0	6.5	Up	4.9	1.1	0	7.46	Up	3.425	1.2	0	5.27	None	4.4	3.1	1	6.81	None	3.325	1.003639211	0	5.115384615	None	2.375	1.220228804	0	3.653846154	None	5.075	2.05035566	2	7.807692308	None	2.925	2.341473895	0	4.5	Up	2.45	0.533072853	0	3.769230769	0.7	0.1	0		
1622912_at	Up	154.4	6.3	4	2.2	None	57.6	3.5	4	0.8	Down	39.5	2.1	4	0.6	None	65.6	6.4	4	0.9	None	88.5	2.8	4	1.3	Up	95.7	7.8	4	1.4	None	63.7	4.2	4	0.9	Down	2.3	0.7	0	0	Down	35.1	2.8	4	0.5	None	59.3	1.5	4	0.8	Down	32.4	7.6	2	0.5	Up	124.8	11.2	4	1.8	Up	195.8	2.9	4	2.8	None	58.6	4.2	4	0.84	None	49.5	2.6	4	0.71	None	57.8	4.4	4	0.83	Up	104.9	1.3	4	1.5	None	41.3	1.6	4	0.59	None	43.2	3.3	4	0.62	Down	27.825	1.9	3	0.4	None	41.6	5.2	4	0.6	Down	22.4	3.849675311	1	0.320457797	Down	34.8	2.900287342	4	0.497854077	None	42.375	2.037717269	4	0.606223176	Down	22.375	3.902456491	3	0.320100143	Down	38.5	0.963500562	4	0.550786838	69.9	9.8	4		
1622913_a_at	Up	87.6	2.4	4	13.2	None	24.6	5.8	3	3.7	None	5.3	2.1	0	0.8	Up	14.7	1.2	0	2.2	Down	3.3	0.7	0	0.5	Down	4	1	0	0.6	None	5.3	1.5	0	0.8	Down	1.8	0.9	0	0.3	None	7.1	2.9	0	1.1	Down	2.2	0.6	0	0.3	Down	1.3	0.1	0	0.2	Up	54.8	9.1	4	8.3	None	5.3	3	0	0.8	None	6.6	1.8	0	0.99	None	5.3	1.8	0	0.8	None	9.9	2.3	0	1.49	None	2.8	1.5	0	0.42	Down	3	0.3	0	0.46	None	5.8	2.2	0	0.87	Up	21.95	2.3	4	3.31	Down	1.9	0.6	0	0.28	None	6.775	2.277562659	0	1.022641509	None	8.075	1.924134004	0	1.218867925	Down	1.5	0.777817459	0	0.226415094	None	4.85	3.742102796	1	0.732075472	Down	3.4	0.595818764	0	0.513207547	6.6	1	0		
1622914_at	None	1.2	0.4	0	0.5	None	2.6	0.5	0	1	None	2.3	1.2	0	0.9	None	6.2	0.9	0	2.3	None	3	0.6	0	1.1	Down	1.6	0.4	0	0.6	None	0.6	0.1	0	0.2	None	0.7	0.2	0	0.3	None	1.6	0.2	0	0.6	None	1.7	0.8	0	0.7	None	6.8	3.2	0	2.5	None	2.4	1.7	0	0.9	None	4.8	1.8	0	1.8	None	2.9	1.6	0	1.08	None	0.6	0.1	0	0.23	None	5.4	1.8	0	2.05	None	0.7	0.3	0	0.25	None	3.4	0.8	0	1.29	None	1.6	0.6	0	0.6	None	0.575	0.2	0	0.22	None	0.8	0.3	0	0.31	None	0.925	0.201556444	0	0.349056604	None	2.825	1.194693127	0	1.066037736	None	2.175	0.700446286	0	0.820754717	None	0.425	0.189296945	0	0.160377358	None	0.4	0.070710678	0	0.150943396	2.7	1.6	0		
1622915_at	Down	2	1.3	0	0	Down	2.3	1.6	0	0.1	Down	3	1.4	0	0.1	Down	5.4	0.8	0	0.1	Down	6.9	1.4	0	0.2	Down	2.3	0.6	0	0.1	Down	1.1	0.4	0	0	Up	769.5	31.9	4	17.3	Down	6.6	4.1	0	0.1	Down	3.2	1.3	0	0.1	None	51.2	29.1	3	1.1	Down	3.1	0.8	0	0.1	Down	10.1	3.5	0	0.2	Down	7	4	0	0.16	Down	2.8	0.9	0	0.06	Down	2.2	0.7	0	0.05	Down	3	0.5	0	0.07	Down	3.4	1.4	0	0.08	Down	4.2	1.2	0	0.09	Down	3.175	0.6	0	0.07	Down	5.5	4.6	0	0.12	Down	5.1	1.190238071	0	0.114349776	Down	3.6	0.601387285	0	0.080717489	Down	0.85	0.517204022	0	0.019058296	Down	1.85	1.247664485	0	0.041479821	Down	3.425	0.406970515	0	0.076793722	44.6	2.6	4		
1622916_at	None	3	1.1	0	1.1	None	3.4	0.8	0	1.2	None	1.8	0.2	0	0.7	Up	7.3	1.4	0	2.7	None	4.8	1.9	0	1.7	None	3.3	0.8	0	1.2	None	4.4	1	0	1.6	Down	0.7	0.2	0	0.3	None	5.4	3	0	2	None	6.2	2	0	2.2	None	4	1.4	0	1.4	None	5.7	2.1	0	2.1	None	3.2	1.6	0	1.1	None	6.6	3.8	0	2.38	None	3.9	2.1	0	1.43	Up	10.8	2.1	0	3.94	None	3.7	1.4	0	1.34	None	3.8	0.6	0	1.37	None	4.4	1.5	0	1.6	Down	1.475	0.5	0	0.54	None	4.1	3.2	0	1.47	Down	1.5	0.141421356	0	0.545454545	None	3.675	1.994314836	0	1.336363636	None	3.7	0.546198987	1	1.345454545	None	5.225	5.057255514	0	1.9	Up	5.7	0.696419414	0	2.072727273	2.8	0.3	0		
1622917_a_at	Down	1.2	0.4	0	0	Down	3.6	2.1	0	0	Down	6.8	2.1	0	0	Down	4.3	1.1	0	0	Down	3.4	0.3	0	0	Down	3	0.6	0	0	Down	2.1	1.3	0	0	Up	1493.1	15.8	4	10.8	Down	8.9	2.4	0	0.1	Down	5.1	1.6	0	0	None	152.2	90.5	4	1.1	Down	6	0.6	0	0	Down	11	3.6	0	0.1	Down	4.6	1.8	0	0.03	Down	9.1	0.7	1	0.07	Down	4.8	2.1	0	0.04	Down	6.1	0.9	0	0.04	Down	4	0.9	0	0.03	Down	6.4	1.6	0	0.05	Down	4.85	1.5	2	0.04	Down	6.4	2.5	0	0.05	Down	6.325	1.11233613	0	0.045883206	Down	4.425	0.925	0	0.032100109	Down	3.05	0.983615779	0	0.022125499	Down	7.925	9.522385906	1	0.057490025	Down	3.35	0.790042193	0	0.024301777	137.9	11.7	4		
1622918_at	None	3	0.9	0	1.1	None	3.5	1.1	1	1.3	None	3.2	1.5	0	1.2	None	2.7	0.6	0	1	None	1.8	0.5	0	0.7	None	3.4	0.8	0	1.3	None	1	0.4	0	0.4	None	1.6	0.7	0	0.6	None	3.3	1.6	0	1.3	None	4.5	1.2	0	1.7	None	5.5	1	0	2.1	None	2.2	0.7	0	0.8	None	4.4	2.1	0	1.7	None	4	1.1	0	1.51	None	3	1.5	0	1.12	None	4.6	0.9	0	1.73	None	2.5	1.3	1	0.93	None	4.7	1.4	2	1.79	None	3.5	1	1	1.32	None	1.825	0.8	0	0.7	None	6.2	2.6	2	2.35	None	1.825	0.551324164	0	0.695238095	None	6.075	0.736404554	1	2.314285714	None	4.275	0.455292946	0	1.628571429	None	2.775	2.280898946	1	1.057142857	None	2.45	0.800520664	1	0.933333333	2.6	1.3	0		
1622919_at	None	4	1.6	1	1.6	None	2.9	1	0	1.1	None	2.5	0.9	0	1	None	2.7	0.9	0	1.1	None	1.9	1	0	0.7	Down	1.4	0.4	0	0.6	None	1.2	0.2	0	0.5	Up	9.5	1.7	2	3.7	None	3.7	1.3	0	1.4	None	1.5	0.6	0	0.6	None	2	0.3	0	0.8	None	2.6	0.6	0	1	None	3	1.1	0	1.2	None	6.3	1.3	0	2.45	None	1.6	0.3	0	0.64	None	5.3	1.7	0	2.09	None	2.3	0.6	0	0.88	None	2.6	1.3	0	1.02	None	2.6	1.1	0	1.03	None	1.7	0.5	0	0.67	None	7	7.5	1	2.75	None	1.55	0.330403793	0	0.607843137	None	5	1.913548188	0	1.960784314	None	4.05	0.759934208	0	1.588235294	None	2.35	2.033879708	0	0.921568627	None	1.3	0.091287093	0	0.509803922	2.6	0.7	0		
1622920_at	Down	74.3	2.9	4	0.4	Up	2649.8	74.7	4	14.1	Down	2.2	1	0	0	Down	5.6	1.6	0	0	Down	2	0.7	0	0	Down	2.4	0.5	0	0	Down	0.5	0.2	0	0	Down	3	0.7	0	0	Down	2.1	1.5	0	0	Down	1.4	0.4	0	0	Down	3	1.6	0	0	Down	3.7	1.6	0	0	Down	1.6	0.4	0	0	Down	5.4	2.5	0	0.03	Down	2.9	0.9	0	0.02	Down	21.3	3	2	0.11	Down	2.1	1	0	0.01	Down	2.7	0.5	0	0.01	Down	3.4	1.3	0	0.02	Down	2.5	2.9	0	0.01	Down	1.2	0.5	0	0.01	Down	1.525	0.411045415	0	0.00809448	Up	6507.75	35.51155915	4	34.54219745	Down	5.075	1.608506036	0	0.026937367	None	114.85	222.8613096	1	0.609607219	Down	0.925	0.232289331	0	0.004909766	188.4	11.9	4		
1622921_at	None	228.2	1.2	4	1.1	Down	135	4.2	4	0.7	Down	137.2	6.4	4	0.7	Down	76.7	3.9	4	0.4	Down	101.1	3.8	4	0.5	Down	71	2.5	4	0.4	Up	275.5	3.7	4	1.4	Up	641.6	28.3	4	3.2	None	223.2	12	4	1.1	Down	96.9	3.5	4	0.5	None	172.7	21	4	0.9	None	178.6	9.8	4	0.9	Down	92.7	8.8	4	0.5	Down	122.6	9.1	4	0.61	None	174.1	10.6	4	0.87	Down	88.4	4.3	4	0.44	Down	118.2	7.9	4	0.59	Down	123.1	2.8	4	0.61	Down	139.9	14.3	4	0.7	None	196.4	12.7	4	0.98	Down	110.9	5.3	4	0.55	Down	114.375	3.875645108	4	0.571161049	Down	153.55	6.272492859	4	0.766791511	Down	128.4	3.033974291	4	0.641198502	None	180.775	13.88893444	4	0.902746567	Up	528.25	10.5877681	4	2.637952559	200.3	10.9	4		
1622922_at	Up	25.9	2.4	4	5.6	None	5	0.9	1	1.1	None	4.8	1	1	1	None	2.2	1.3	0	0.5	None	1.7	1.2	0	0.4	None	3.4	0.8	0	0.7	None	2.1	0.9	0	0.5	Up	10.5	1	4	2.3	None	4.9	1.7	0	1.1	None	5.1	2	0	1.1	None	2.9	1.7	0	0.6	None	14.6	3.5	3	3.2	None	5.8	3.1	0	1.3	None	15.3	4.9	0	3.31	None	5.3	2.1	1	1.14	None	3.6	0.7	0	0.77	None	2.2	0.6	0	0.48	None	3.7	1.4	0	0.79	None	5.2	0.5	0	1.13	Up	11.775	3.2	4	2.55	None	5.9	1.1	0	1.28	None	3.625	1.498540957	0	0.783783784	None	3.525	1.118313462	0	0.762162162	None	3.65	2.064582282	0	0.789189189	None	2.575	1.443086969	0	0.556756757	Down	1.075	0.515388203	0	0.232432432	4.6	0.8	0		
1622923_at	Up	227.9	10.1	4	24	Up	84.9	8.8	4	8.9	Down	4.2	1.4	0	0.4	Down	3.1	1.7	0	0.3	Down	4.9	0.8	2	0.5	None	7.3	1.4	1	0.8	Down	2.3	0.8	0	0.2	Down	2.6	0.3	0	0.3	None	4.8	1.7	0	0.5	None	6	1.3	2	0.6	Down	4.6	0.4	0	0.5	Up	372.6	23.9	4	39.2	None	5.2	2.3	0	0.5	None	5.4	2.1	0	0.57	Down	2.4	1.1	0	0.25	Down	3.7	1.1	0	0.38	None	5.6	0.6	2	0.58	None	4.9	1.3	2	0.52	None	6.9	2.1	2	0.72	Up	660.875	33.4	4	69.57	None	7.2	4	1	0.76	Down	4.65	0.640962817	0	0.489473684	Up	36.475	2.93296636	4	3.839473684	Down	1.95	0.954375887	0	0.205263158	Down	4.05	1.8734994	1	0.426315789	Down	1.75	0.862650953	0	0.184210526	9.5	1.5	4		
1622924_at	Down	3	0.7	0	0.1	Down	3.1	1.3	0	0.1	Down	6.5	0.9	0	0.1	Down	8.6	1.8	0	0.2	Down	2.8	1.3	0	0.1	Down	6.6	0.4	0	0.1	Down	3.5	0.4	0	0.1	Down	5	1.5	1	0.1	Down	4.7	2.2	1	0.1	Down	7.4	2.1	0	0.2	Down	2.4	1.1	0	0.1	Down	7	1.5	1	0.1	Up	330.6	12.3	4	7	Down	7.2	4.2	0	0.15	Down	4	1.4	0	0.08	Down	3.8	1.4	0	0.08	Down	4.7	1.7	0	0.1	Down	4.6	1.8	0	0.1	Down	3.4	0.7	0	0.07	Down	2.7	1.8	0	0.06	Down	9.5	4.9	0	0.2	Down	3.175	1.419727086	0	0.06691254	Down	2.85	0.721687836	0	0.060063224	Down	3.4	1.035213344	0	0.071654373	Down	3.85	2.436527584	0	0.08113804	Down	5.175	0.451617463	0	0.109062171	47.5	4.1	4		
1622925_at	None	213	17.2	4	1.6	Down	29.9	5.8	4	0.2	Down	87.5	3.7	4	0.7	Down	78.9	2.3	4	0.6	Down	86.4	7.7	4	0.7	Down	43.8	3	4	0.3	Up	374	3.8	4	2.8	Down	48.2	6.2	4	0.4	Down	61.5	6.4	4	0.5	Down	81.1	5	4	0.6	Down	86.7	5.4	4	0.7	None	100.4	14.1	4	0.8	Down	54.8	8.5	4	0.4	Down	53.2	11.8	4	0.4	None	151	11.2	4	1.14	Down	51.3	3.4	4	0.39	None	98.7	4.4	4	0.75	Down	35.7	1.2	4	0.27	Down	52.5	3.3	4	0.4	None	162.425	15	4	1.23	Down	61.8	15.8	4	0.47	None	129.175	11.56556491	4	0.978413179	Down	37.5	5.146034072	4	0.284037114	Down	56.725	3.56402745	4	0.429653475	None	108.4	11.55508546	4	0.821056618	None	121.925	1.229074855	4	0.923499337	132	12.9	4		
1622926_at	Down	20.7	1.6	4	0.2	Down	23.2	2.5	4	0.3	Down	32.6	0.7	4	0.4	Down	23.9	1.3	4	0.3	Down	18	2.4	4	0.2	Down	22.6	2.1	4	0.2	Up	291.1	4	4	3.2	Down	11.6	0.9	4	0.1	Down	41.6	5.6	4	0.5	Down	23.1	1.7	4	0.3	Down	27	3.5	4	0.3	Down	20.2	2.5	4	0.2	Down	21.9	3.7	4	0.2	Down	25.4	1.9	4	0.28	Down	60.1	8.5	4	0.66	Down	21	2	4	0.23	Down	32.9	1.4	4	0.36	Down	16.9	1.5	4	0.19	Down	26	2.6	4	0.29	Down	58.95	4.3	4	0.65	Down	32.5	3.3	4	0.36	Down	38	7.003689504	4	0.419541816	Down	13.075	0.545244593	4	0.144355506	Down	14.45	2.23960562	4	0.159536296	Down	36.825	6.843183957	4	0.406569142	Down	55.15	0.357071421	4	0.608887662	90.6	5.2	4		
1622927_at	None	1.2	0.5	0	0.5	None	1.8	0.7	0	0.7	None	1	0.1	0	0.4	None	4	0.5	0	1.5	None	2.2	0.6	0	0.9	None	2.3	0.6	0	0.9	None	1	0.2	0	0.4	None	1.5	0.5	0	0.6	None	3.6	1.7	0	1.4	None	1.2	0.2	0	0.4	Up	15.3	2.7	1	5.9	None	0.6	0	0	0.2	None	4.4	2.5	0	1.7	None	11.5	3.5	0	4.48	None	3.5	1.5	0	1.36	Up	9.2	1.9	0	3.56	None	3.3	1	0	1.28	None	3.2	1.2	0	1.24	None	4.5	0.9	0	1.76	None	0.8	0.3	0	0.31	None	2.5	1.5	0	0.97	None	1.475	0.249582986	0	0.572815534	None	3.6	1.364429063	0	1.398058252	Up	8.15	0.868427698	1	3.165048544	None	0.85	0.525991128	0	0.330097087	None	0.6	0.070710678	0	0.233009709	2.6	1.1	0		
1622928_at	Up	103.5	2.4	4	1.4	Down	49.5	5.9	4	0.7	Down	47.4	4.1	4	0.7	Down	39.3	3.4	4	0.5	Down	49.2	4.7	4	0.7	Down	56.1	4.2	4	0.8	Up	107	5	4	1.5	Up	206.7	7.4	4	2.9	None	76.2	2.3	4	1.1	Down	43.1	2.6	4	0.6	Down	34.9	7	3	0.5	Up	104.8	3.9	4	1.5	Down	36.3	3.2	2	0.5	None	63.1	13.1	4	0.88	None	75	2.8	4	1.05	Down	39.3	1.6	4	0.55	Down	54.5	1.6	4	0.76	None	65.4	3.5	4	0.91	None	66.8	2.6	4	0.93	Up	151.625	6.6	4	2.12	Down	29.3	7.1	1	0.41	Down	44.05	3.589916434	4	0.6145797	Down	50.875	2.194832947	4	0.709801186	Down	25.15	2.484116208	4	0.350889431	None	73.725	4.012792045	4	1.028601325	Up	81.55	1.947006249	4	1.137774677	71.7	2	4		
1622929_at	Up	75.6	2.5	4	13.3	None	7.3	1.3	1	1.3	Up	12.2	1.6	0	2.1	None	3.3	0.9	0	0.6	None	4.4	1.3	0	0.8	Down	2.3	0.8	0	0.4	Down	1.4	0.6	0	0.2	None	8.1	0.5	2	1.4	None	8.3	2.1	0	1.5	Down	1.8	0.9	0	0.3	Down	2.2	0.8	0	0.4	Up	57.2	10.2	4	10	None	6.7	2.3	0	1.2	None	4	1.7	0	0.71	Down	0.8	0.2	0	0.14	None	2.8	1.1	0	0.5	Down	2.2	1.1	0	0.38	Down	1.3	0.3	0	0.22	Down	1.6	0.7	0	0.29	Up	16.35	2.5	4	2.87	None	6	1.7	0	1.06	Down	1.775	0.8740471	0	0.311403509	Up	11.25	0.730867065	3	1.973684211	None	8.2	2.387816297	3	1.438596491	Down	1.025	0.85	0	0.179824561	Down	1.925	0.651120829	0	0.337719298	5.7	0.9	0		
1622930_a_at	Down	47.5	3.1	4	0.6	Down	39.4	2.2	4	0.5	Down	49.8	1.2	4	0.6	Down	60.9	3.2	4	0.8	Down	45.9	1.9	4	0.6	Up	98.1	2.5	4	1.2	Up	143.2	4.2	4	1.8	Down	41.3	2.7	4	0.5	Down	70.8	2	4	0.9	Up	125.3	3.5	4	1.6	Down	51	1.9	4	0.6	Down	46.7	2.2	4	0.6	Down	41.7	3.5	4	0.5	Down	46.8	3.8	3	0.58	None	84.1	5	4	1.05	Down	47.4	4	4	0.59	None	71.7	2.9	4	0.89	None	87	5.3	4	1.09	None	81.2	3.2	4	1.01	Up	138.475	8.4	4	1.73	Down	48	3.8	4	0.6	Down	52.525	1.594979101	4	0.655333749	Down	41.3	1.793506807	4	0.515283843	Down	38.875	3.376727953	4	0.485028072	None	80.525	4.558782732	4	1.004678727	Up	136.65	3.857784338	4	1.70492826	80.2	2.3	4		
1622931_at	Up	96.1	2.4	4	1.8	Down	29.2	1.9	4	0.5	None	44.1	5.5	4	0.8	Down	33.3	2.2	4	0.6	Down	32.4	3.2	4	0.6	Down	37.1	1.1	4	0.7	Up	204.5	7.4	4	3.7	Down	33.2	1.5	4	0.6	None	57.8	4.1	4	1.1	None	61.5	5.4	4	1.1	None	61.9	3.6	4	1.1	Up	74.6	3.5	4	1.4	Down	32.6	2.4	4	0.6	None	67.8	3.3	4	1.24	None	71	3.7	4	1.3	None	42.1	1.5	4	0.77	None	55.9	1.8	4	1.02	None	52.1	2.6	4	0.95	None	52.4	1.9	4	0.96	Up	175.675	13.8	4	3.21	None	38	7.8	4	0.69	None	44.95	1.203813385	4	0.821004566	None	36.475	0.962959847	4	0.666210046	Down	24.325	2.751779727	4	0.444292237	None	59.125	1.340087062	4	1.079908676	Up	99	0.696419414	4	1.808219178	54.8	6.3	4		
1622932_s_at	None	140.9	8	4	0.8	Up	334.8	18.3	4	1.9	Down	14.3	1.7	3	0.1	Down	28.6	1.7	4	0.2	Down	16.8	0.5	4	0.1	Down	12.9	2.7	2	0.1	Up	343.3	9.7	4	1.9	Down	71.9	4	4	0.4	Down	13.1	2	0	0.1	Down	66.8	13.9	4	0.4	Down	57.2	8.7	4	0.3	None	127.1	5.4	4	0.7	Down	17.7	3.3	1	0.1	Down	13.2	3.3	1	0.07	Down	12.8	0.7	2	0.07	Down	65.4	2.1	4	0.36	Down	30	1.4	4	0.17	Down	11.1	0.5	1	0.06	Down	17	3	3	0.09	Up	733.8	91.6	4	4.08	Down	21.2	7.1	4	0.12	None	130.6	23.23800766	4	0.726766834	Up	1488.325	97.05193949	4	8.282276016	Down	11.475	2.315302356	3	0.063856427	Up	983.3	142.1927096	4	5.471897607	Down	15.325	1.613162009	3	0.085281024	179.7	18.2	4		
1622933_at	Down	10.3	1.8	4	0.3	Down	10.7	1.5	4	0.3	Down	15.7	1.1	4	0.4	None	42.4	0.6	4	1.1	Down	27.6	1.3	4	0.7	None	39.6	3.5	4	1	Up	78.2	2.9	4	2.1	Up	148.9	10.6	4	3.9	Down	19.6	2	4	0.5	Down	20.3	0.5	4	0.5	None	30.9	10.8	3	0.8	Down	9	1.2	3	0.2	Down	17.7	2.4	0	0.5	None	40	3.8	3	1.06	Down	25.8	2.6	4	0.68	Down	28.7	2.4	4	0.76	None	38.3	3.7	4	1.01	Down	9.2	0.2	4	0.24	Down	11.6	1.1	2	0.31	Down	8.95	1.6	4	0.24	Down	23.3	1.8	4	0.61	Down	10.55	0.94030137	1	0.278731836	Down	14.15	1.387143348	4	0.373844122	Down	21.625	1.212693284	4	0.571334214	Down	18.625	1.937997248	4	0.492073976	Down	16.5	1.904818452	4	0.435931308	37.9	2.4	4		
1622934_at	Up	16.6	1.5	0	2	None	8.9	2.3	0	1.1	Up	20	2.9	0	2.4	Up	18.4	2.9	0	2.3	None	15.6	3.1	0	1.9	Up	10.7	0.9	0	1.3	None	10.3	0.7	1	1.3	None	3.1	0.4	0	0.4	None	14	3.8	1	1.7	None	16.2	2.8	0	2	None	14.7	4.7	2	1.8	None	9.2	3.8	0	1.1	None	9.8	6.4	0	1.2	None	21.3	8	0	2.61	None	6.1	1.7	0	0.75	None	4.1	0.3	0	0.5	None	11	2.8	0	1.34	None	4.1	1.4	0	0.5	None	3.7	0.6	0	0.45	Up	27.075	10.2	4	3.31	None	12.2	8.4	0	1.49	None	8.55	2.761189357	0	1.04587156	None	8.275	2.159234046	0	1.012232416	None	9.6	3.295704275	1	1.174311927	None	15.475	2.807579028	0	1.892966361	Up	29	5.413717146	3	3.547400612	8.2	2.5	0		
1622935_at	Down	3.3	1.9	0	0	Down	4.9	2.4	0	0	Down	8.8	2.6	1	0.1	Down	6.8	0.8	0	0.1	Down	6.7	0.5	0	0.1	Down	27	11.6	2	0.3	Down	5.3	1.8	0	0.1	Down	13	4.9	2	0.1	Up	6504.6	223.8	4	62.5	Down	5.8	1.7	0	0.1	Down	6.4	3.3	0	0.1	Down	7	2.3	0	0.1	Down	15.6	3.1	1	0.2	Down	13.2	2.8	0	0.13	Down	5.8	2.4	0	0.06	Down	2.8	1	0	0.03	Down	3.8	1.3	0	0.04	Down	5.5	1.2	0	0.05	Down	4.4	1.7	0	0.04	Down	5.225	1.4	0	0.05	Down	9.6	4.7	0	0.09	Down	9.275	0.872138177	2	0.089118424	Down	1.25	0.567890835	0	0.012010569	Down	4.675	1.262520627	1	0.044919529	Down	3.975	2.61836463	0	0.03819361	Down	5.925	1.030675345	0	0.056930098	104.1	6.8	4		
1622936_at	None	3.2	0.7	0	1.6	None	1.1	0.4	0	0.5	None	4	2.1	0	1.9	None	1	0.2	0	0.5	None	2.6	1	0	1.3	None	2.2	0.5	0	1.1	Down	0.3	0	0	0.1	None	3.2	0.7	0	1.5	None	2.7	0.9	0	1.3	Down	0.7	0.2	0	0.4	Down	0.9	0.2	0	0.4	None	5.5	1.6	0	2.7	None	1.5	0.2	0	0.7	None	1.5	0.4	0	0.71	None	2.1	0.9	0	1.04	None	2.2	0.7	0	1.07	None	2.2	1.4	0	1.06	None	1.2	0.2	0	0.56	None	3.9	1.3	0	1.91	None	0.95	0.7	0	0.46	None	1.8	0.9	0	0.89	Down	0.9	0.234520788	0	0.43902439	Down	0.6	0.091287093	0	0.292682927	None	1.375	0.847914107	0	0.670731707	Down	0.65	0.519615242	0	0.317073171	Up	5.325	0.555840205	0	2.597560976	2.1	0.4	0		
1622937_at	Up	81.7	2.5	4	1.3	Up	98.3	8.3	4	1.6	Up	197.9	5.3	4	3.2	Down	10.9	0.4	1	0.2	Up	121.8	2.8	4	2	None	60.9	12.2	4	1	Up	101.7	2.5	4	1.6	Down	44.9	1.6	4	0.7	Up	156.1	10.5	4	2.5	Down	24.6	1.8	4	0.4	Down	18.7	1.3	3	0.3	Down	31.6	1.9	4	0.5	None	63.7	3	4	1	Up	112.4	7.3	4	1.82	Up	198.1	7.2	4	3.21	Down	13.5	1.7	0	0.22	Up	130.3	2.9	4	2.11	Up	331.8	7.3	4	5.38	Up	395.1	43.8	4	6.41	Down	34.075	3.8	4	0.55	Down	17.8	4.5	4	0.29	None	98.8	17.97743957	4	1.602595296	Up	168.125	8.707503948	4	2.727088402	Down	16.025	1.27369214	4	0.259935118	Up	252.65	18.9056429	4	4.098134631	Down	0.6	0.122474487	0	0.00973236	61.7	5.4	4		
