Oligo	brain vs whole fly - T-Test_Change Direction	BrainMean	BrainSEM	BrainPresent	Brain:fly	head vs whole fly  - T-Test_Change Direction	HeadMean	HeadSEM	HeadPresent	Head:fly	Crop vs Whole flies t-test - T-Test_Change Direction	cropMean	cropSEM	cropPresent	ratio	midgut vs whole fly - T-Test_Change Direction	MidgutMean	MidgutSEM	MidgutPresent	Midgut:fly	Hind vs Whole  - T-Test_Change Direction	HindgutMean	HindgutSEM	Hindgutpresent	Hindgut:fly	Tubule t test vs whole fly	tubuleMean	tubuleSEM	tubulePresent	tubule:fly	ovary vs whole flies - T-Test_Change Direction	OvaryMean	OvarySEM	OvaryPresent	Ovary:fly	testis vs whole flies - T-Test_Change Direction	TestisMean	TestisSEM	TestisCall	Testis:fly	acc vs W - T-Test_Change Direction	AccMean	AccSEM	AccPresent	Acc:fly	LT vs whole fly - T-Test_Change Direction	l_tubMean	l_tubSEM	l_tubPresent	l_tub:fly	FB vs whole fly - T-Test_Change Direction	l_fatMean	l_fatSEM	l_fatPresent	l_fat:fly	tag vs whole flies - T-Test_Change Direction	tagMean	tagSEM	tagPresent	tag:fly	car vs Whole fly - T-Test_Change Direction	carMean	carSEM	carPresent	car:fly	SG vs whole fly - T-Test_Change Direction	Sgmean	Sgsem	Present	ratio	L_sg t	l_sg mean	l-sg sem	l_sg present	l_sg ratio	l_mid t	l_mid mean	l_mid sem	l_mid present	l_mid ratio	larvae hindgut vs whole fly  - T-Test_Change Direction	l_hind mean	l_hind sem	l_hind present	l_hind ratio	SptV vs W - T-Test_Change Direction	SptV mean	SptV sem	SptV present	SptV ratio	SptM vs W t-test - T-Test_Change Direction	SptM mean	SptM sem	SptM present	SptM ratio	Feeded larvae central nerve system vs whole flies  - T-Test_Change Direction	LcnsMean	LcnsSEM	call	ratio	Adult fat body vs whole flies  - T-Test_Change Direction	AFBmean	AFBSEM	AFBcall	ratio	Feeded larvae carcuss vs whole flies  - T-Test_Change Direction	LcarMean	LcarSEM	Lcar call	ratio	eye vs whole flies - T-Test_Change Direction	eye mean	eye sem	eye present	eye ratio	heart vs wholefly t-test - T-Test_Change Direction	heart mean	heart sem	heart present	heart ratio	lftrachea vs wholefly - T-Test_Change Direction	trachea mean	trachea sem	trachea present	trachea ratio	Drosophila S2 cells vs whole flies - T-Test_Change Direction	S2 Mean	S2 sem	S2 present	S2 ratio	FlyMean	FlySEM	FlyPresent		
1622901_at	Down	3.8	1.3	0	0.1	Down	4.1	1	0	0.1	Down	3	1.3	0	0.1	Down	11.1	2.7	0	0.3	Up	2648	101.3	4	69	Down	13.5	8.7	0	0.4	Down	2.1	0.9	0	0.1	Down	2.4	1.3	0	0.1	Down	9.6	3.9	0	0.3	Down	2.2	0.9	0	0.1	Down	3.5	1.4	0	0.1	Down	0.8	0.2	0	0	Down	6.5	1.4	0	0.2	Down	7.7	4.8	0	0.2	Down	4.6	1.3	0	0.12	Down	6.2	3.3	0	0.16	Up	180.5	31	4	4.7	Down	2.9	1.3	0	0.07	Down	2.1	0.5	0	0.05	Up	103.6	14.7	4	2.7	Down	5.3	1.4	0	0.14	Up	239.6	31.5222937	4	6.239583333	Down	4.325	1.306633716	0	0.112630208	Down	3.025	1.143368561	0	0.078776042	Down	8.8	14.23259171	1	0.229166667	Down	2.425	0.423034672	0	0.063151042	38.4	3.4	4		
1622902_at	Down	3	1.2	0	0	Up	1449.2	107.9	4	15.6	Down	1.8	0.4	0	0	Down	1.4	0.3	0	0	Down	1.2	0.3	0	0	Down	2.4	0.3	0	0	Down	0.9	0.1	0	0	Down	1.2	0.2	0	0	Down	1.7	0.4	0	0	Down	1.4	0.4	0	0	Down	6.2	4	0	0.1	Down	2.8	1.1	0	0	Down	7.7	4	0	0.1	Down	7.1	1.5	0	0.08	Down	3.5	0.7	0	0.04	Down	2.6	0.3	0	0.03	Down	2.5	0.6	0	0.03	Down	3.7	1.4	0	0.04	Down	3.3	1.3	0	0.04	Down	2.65	1.6	0	0.03	Down	7.7	2.7	0	0.08	Down	14.2	10.13549867	0	0.15297603	None	174.925	84.82063797	3	1.884460005	Down	3.425	0.755397246	0	0.036897388	Down	7.175	3.456756669	0	0.077295987	Down	28.175	2.139460602	0	0.303528144	92.8	8.5	4		
1622903_s_at	Up	273.3	3.3	4	2.5	None	116	2.1	4	1.1	None	114.6	2.3	4	1.1	Down	69.8	2.9	4	0.6	Down	82.8	2.1	4	0.8	Down	87.4	5.9	4	0.8	Up	261	6.5	4	2.4	Down	16.5	1.3	4	0.2	Up	210.5	11.9	4	1.9	None	104.5	6.2	4	1	Down	69.3	5.5	4	0.6	Up	281.3	13.8	4	2.6	Down	72.6	4.7	4	0.7	Up	139.7	5.3	4	1.29	Up	187.8	6.3	4	1.74	Down	67.3	2.4	4	0.62	None	104.8	1.7	4	0.97	Down	70.9	5.2	4	0.66	Down	85	1.5	4	0.79	Up	244.875	11.6	4	2.27	Down	55.6	1.5	4	0.51	None	118.6	4.775109074	4	1.097386074	None	109.4	1.761628035	4	1.012260005	Down	61.1	1.430617582	4	0.565348138	None	113.175	10.4732596	4	1.047189452	Down	73.45	2.726566828	4	0.679620634	108.1	4.1	4		
1622904_at	None	4.9	1.5	0	1	None	7.1	1.7	0	1.4	None	8	2.1	0	1.6	None	3.4	1.8	0	0.7	None	7.1	1.3	1	1.4	Down	3.1	0.6	0	0.6	None	4	1	0	0.8	None	4.8	1.8	1	1	None	9.3	2.6	0	1.9	None	5.7	1.6	1	1.2	Up	9.3	1.3	0	1.9	None	4.7	1.2	0	0.9	None	7.2	1.9	0	1.5	Up	20	2.4	0	4.05	None	7.3	1.1	0	1.48	None	4	1.4	0	0.81	Down	1.8	0.6	0	0.36	None	7.8	1.4	1	1.58	None	8	1.6	0	1.62	None	4.875	0.6	0	0.99	Up	11.6	1.4	2	2.36	None	6.925	0.676233441	0	1.406091371	None	3.95	1.376892637	1	0.802030457	None	5.6	2.197346885	0	1.137055838	None	6.3	3.682390528	2	1.279187817	None	7.525	1.127959071	1	1.527918782	4.9	0.7	0		
1622905_at	None	1.5	0.1	0	0.7	None	1.4	0.5	0	0.7	None	2.9	1.4	0	1.4	None	2.2	1.1	0	1	None	0.9	0.1	0	0.4	None	2.4	0.8	0	1.1	None	0.6	0.2	0	0.3	None	1	0.5	0	0.5	None	1.1	0.3	0	0.5	None	1.7	0.6	0	0.8	None	5	2.4	0	2.4	None	0.8	0.2	0	0.4	None	4.1	3.1	0	2	None	6.2	2.9	0	2.96	None	3.7	1.7	0	1.76	None	4.9	2.4	0	2.35	None	1.4	0.6	0	0.69	None	3.1	1.2	0	1.48	None	1.2	0.7	0	0.58	None	1.125	0.9	0	0.54	None	1.1	0.6	0	0.52	None	2.25	0.741057803	0	1.084337349	None	2.075	0.996138377	0	1	None	0.725	0.35910769	0	0.34939759	None	2.525	1.053169819	0	1.21686747	None	0.875	0.366003188	0	0.421686747	2.1	0.9	0		
1622906_at	Up	251.6	9	4	1.9	None	177.7	20.7	4	1.3	None	114.2	4.8	4	0.8	Down	58.9	4.9	4	0.4	Up	219.9	20.1	4	1.6	Down	119.5	5.6	4	0.9	Up	257.5	19.8	4	1.9	Down	42.7	0.6	4	0.3	Down	58.3	6.8	4	0.4	Down	41.8	4.8	4	0.3	None	116.2	7.9	4	0.9	Up	279.3	8.3	4	2.1	None	138.1	4.2	4	1	Down	80.6	5.4	4	0.6	Down	20.8	2.6	4	0.15	None	97.9	4.6	4	0.73	None	94.9	8.7	4	0.71	None	97	3.8	4	0.72	None	101.9	3	4	0.76	Down	23.25	5.4	4	0.17	Down	60.8	10.3	4	0.45	Up	547.75	46.77908186	4	4.074762879	None	97.4	6.75980769	4	0.724567603	Down	31.45	3.469269856	4	0.233959457	Up	430.85	52.02566674	4	3.205132974	Down	3.675	1.54616461	0	0.027338665	134.4	15.5	4		
1622907_at	Up	214.1	5.2	4	1.9	Up	182	2.7	4	1.6	Up	159.4	12	4	1.4	Up	200.9	4.1	4	1.7	Up	173.7	1	4	1.5	Up	145.5	5.5	4	1.3	Down	86.9	1.8	4	0.8	Down	26.7	3.2	4	0.2	Up	204.1	3.7	4	1.8	Up	292.6	8.4	4	2.5	Up	268.8	35.6	4	2.3	Up	235.1	8.3	4	2	Up	158.9	6.6	4	1.4	Up	303.4	20.4	4	2.63	None	193.7	31.7	4	1.68	Up	176.2	8.5	4	1.53	Up	143	4.1	4	1.24	Up	144.1	2.9	4	1.25	Up	178.1	10.5	4	1.54	None	108.3	8.6	4	0.94	Up	183.1	27.1	4	1.59	None	110.45	3.933298022	4	0.957105719	Up	217.525	5.083531417	4	1.884965338	Up	279.2	7.597587336	4	2.419410745	None	134.8	22.58731207	4	1.168110919	Up	134.525	3.254580106	4	1.165727903	115.4	4.2	4		
1622908_a_at	Down	5.3	1	1	0.1	None	56.3	7	4	1.6	Down	11	1.6	2	0.3	Up	163.5	19.7	4	4.6	None	28.8	2.3	4	0.8	Down	17.3	2.7	2	0.5	None	47.5	4.7	4	1.3	Down	11.5	0.6	2	0.3	Down	4.7	1.5	0	0.1	None	53.9	6.1	4	1.5	Up	2949.8	415.5	4	83.9	Down	4.7	1.9	0	0.1	None	56.6	7.5	3	1.6	Down	11.2	4.5	0	0.32	Up	89.6	8.1	4	2.55	Up	248.2	17.3	4	7.05	None	164.5	46.9	4	4.68	Up	282.4	44.4	4	8.03	Up	112.8	6.5	4	3.21	Down	8.3	1.2	2	0.24	Up	105.7	26.9	4	3	None	31.975	4.491728509	4	0.909026297	None	73.675	47.86107282	4	2.094527363	None	95.05	35.93606591	4	2.702203269	Up	105.625	28.10899915	4	3.002842928	Up	1499.8	46.91110387	4	42.63823738	35.2	1.4	4		
1622909_at	None	206.5	4.6	4	1.2	Down	99.2	6.8	4	0.6	None	186	7.7	4	1.1	Up	350.5	32.3	4	2	None	201	4.3	4	1.2	Down	66.2	12.4	4	0.4	Up	425.2	7.6	4	2.4	Down	54.5	3.4	4	0.3	Up	236.8	5.9	4	1.4	Up	250.4	20.3	4	1.4	None	163	11.7	4	0.9	None	155.8	6.5	4	0.9	Down	101.9	14.1	4	0.6	Down	105	15.3	4	0.6	Up	302.4	6.9	4	1.74	Up	375.6	24.1	4	2.16	Up	323.9	8.4	4	1.86	Down	96.7	10.5	4	0.56	Down	108.7	4.3	4	0.63	None	194.825	39.4	4	1.12	None	157.8	26.5	4	0.91	Up	274.375	11.05413761	4	1.579136691	Down	86.4	2.38117618	4	0.497266187	None	183.95	11.53151479	4	1.058705036	Up	294.275	29.55293274	4	1.693669065	Up	287.975	9.894053349	4	1.657410072	173.8	12.9	4		
1622910_at	None	5.7	1.2	0	1	None	4.4	1.7	0	0.8	None	4.5	2.4	0	0.8	None	5.4	2.1	1	0.9	None	4.6	1.4	0	0.8	Down	3.6	1	0	0.6	None	2.4	0.8	0	0.4	None	6.1	0.5	0	1.1	None	3.9	1.2	0	0.7	None	4.8	2.1	0	0.8	None	10.4	0.9	0	1.8	None	5.3	1.1	0	0.9	None	7.8	2.5	0	1.4	None	9	3.2	0	1.57	None	4.7	2	0	0.81	None	5.6	1.6	0	0.97	None	2.3	0.8	0	0.4	None	7.1	0.7	0	1.24	Down	0.8	0.2	0	0.14	None	3.975	1.7	0	0.69	None	6.9	1.9	0	1.2	None	7.975	1.092684004	0	1.386956522	None	4.425	1.013553978	0	0.769565217	None	3.45	1.548386257	0	0.6	None	3.125	1.543534904	0	0.543478261	None	7.275	1.381047308	0	1.265217391	5.8	1.5	0		
